GRYD_ETO_ID,S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,text_all,Emotion
Devonshire-Topanga-11-140-1,"Washing, cleaning the house, cress [sic] my shoes","School, finding a job","""School friends""",GRYD,,School friends,Milwood,I changed because I saw my brother get locked up and was not trying to live like that.,I was tired of seeing my mom crying and worried.,"Devonshire-Topanga-11-140-1,Washing, cleaning the house, cress [sic] my shoes,School, finding a job,""School friends"",GRYD,School friends,Milwood,I changed because I saw my brother get locked up and was not trying to live like that.,I was tired of seeing my mom crying and worried.",joy
Southeast 3-10-120-1,,Friend got killed,School friends,,,School friends,No group,,,"Southeast 3-10-120-1,Friend got killed,School friends,School friends,No group",sadness
Rampart 2-12-244-2,Videos,Not having my way,At school,Soccer,Videos,Videos,No name,None,Not me,"Rampart 2-12-244-2,Videos,Not having my way,At school,Soccer,Videos,Videos,No name,None,Not me",fear
Hollenbeck 1-20-111-2,Church,School,School friend,Gracie,,Friend,No group,,,"Hollenbeck 1-20-111-2,Church,School,School friend,Gracie,Friend,No group",neutral
CPHBRE-0-82-1,,My grandmother died.,,,,Homies,Homeboys,My grandmother died and my older brother went to prison for 2 years.,I have my mentor and my probation officer giving me support.,"CPHBRE-0-82-1,My grandmother died.,Homies,Homeboys,My grandmother died and my older brother went to prison for 2 years.,I have my mentor and my probation officer giving me support.",sadness
Harbor-21-192-1,,Homies turning on each other,,,,No other group,Homies,"Yes, homies turning agaist each other",No,"Harbor-21-192-1,Homies turning on each other,No other group,Homies,Yes, homies turning agaist each other,No",joy
Devonshire-Topanga-11-135-1,Resumes/job readiness,"Lost friends/family, joblessness","Daughters, school friends",,,School friends,No group,,,"Devonshire-Topanga-11-135-1,Resumes/job readiness,Lost friends/family, joblessness,Daughters, school friends,School friends,No group",sadness
Newton 2-23-56-1,I am an extra in movie acting,Bullying,,,,GRYD,No group,,,"Newton 2-23-56-1,I am an extra in movie acting,Bullying,GRYD,No group",fear
Northeast-20-156-2,,Brother incarcerated,School friends,,Neighbors,Neighbors,Homies,Mom's concerned for my safety. Brother being locked-up.,New set of friends. Spending more time w/ friends.,"Northeast-20-156-2,Brother incarcerated,School friends,Neighbors,Neighbors,Homies,Mom's concerned for my safety. Brother being locked-up.,New set of friends. Spending more time w/ friends.",sadness
SSSEARE-0-93-1,GRYD Program,Moving to South LA. Never lived outside of San Fernando Valley.,,"GRYD, GRYD Reentry",,GRYD,Soak It Up,"Yes, older brother went to jail and is facing prison time - this happened right before cliient was released from camp. In addition, client lost homies while locked up.",No,"SSSEARE-0-93-1,GRYD Program,Moving to South LA. Never lived outside of San Fernando Valley.,GRYD, GRYD Reentry,GRYD,Soak It Up,Yes, older brother went to jail and is facing prison time - this happened right before cliient was released from camp. In addition, client lost homies while locked up.,No",neutral
Devonshire-Topanga-11-7-2,,"Homeless, being broke and on the streets",,,,No other group,Homies,"Yes, my brother is in jail",Sometimes my child,"Devonshire-Topanga-11-7-2,Homeless, being broke and on the streets,No other group,Homies,Yes, my brother is in jail,Sometimes my child",fear
Northeast-20-226-2,"Volunteer at SEA, church",School (college) is stressful,GRYD (clients & staff),,GRYD,GRYD (clients & staff),Homies,Friends going to jail and friends dying.,"Getting a job, volunteer work with intervention, graduating and going to college.","Northeast-20-226-2,Volunteer at SEA, church,School (college) is stressful,GRYD (clients & staff),GRYD,GRYD (clients & staff),Homies,Friends going to jail and friends dying.,Getting a job, volunteer work with intervention, graduating and going to college.",fear
Hollenbeck 1-20-148-2,Softball,Mother and stepdad separated,Friends,,,Friends,No group,,,"Hollenbeck 1-20-148-2,Softball,Mother and stepdad separated,Friends,Friends,No group",sadness
Southwest 1-15-316-2,,Friend was killed,,,,No other group,Group,Working a lot of hours,Getting a job,"Southwest 1-15-316-2,Friend was killed,No other group,Group,Working a lot of hours,Getting a job",fear
Devonshire-Topanga-11-131-1,"Thinking about my self, friends, family","My work, it gets stressful",School friends,,Park friends,School friends,Homies,Looking at life from a new prespective. He didn't want to get his parents mad or upset anymore.,Seeing friends being influence [sic] by bad company or being led to heavy drug's,"Devonshire-Topanga-11-131-1,Thinking about my self, friends, family,My work, it gets stressful,School friends,Park friends,School friends,Homies,Looking at life from a new prespective. He didn't want to get his parents mad or upset anymore.,Seeing friends being influence [sic] by bad company or being led to heavy drug's",fear
Newton 2-23-210-1,Basketball @ VOA,"School (messy people), girl problems",Community/MMA friends,MMA training,,Community/MMA group,No group,,,"Newton 2-23-210-1,Basketball @ VOA,School (messy people), girl problems,Community/MMA friends,MMA training,Community/MMA group,No group",fear
Devonshire-Topanga-11-97-1,,Not graduating,,,,No other group,No group,,,"Devonshire-Topanga-11-97-1,Not graduating,No other group,No group",sadness
Rampart 2-12-216-1,Cadet program/church,Mom is incarcerated,Church/cadet pro.,,Friend's,Church,No group,,,"Rampart 2-12-216-1,Cadet program/church,Mom is incarcerated,Church/cadet pro.,Friend's,Church,No group",sadness
Hollenbeck 1-20-103-2,,Ticket,School friends,,,School friends,No group,,,"Hollenbeck 1-20-103-2,Ticket,School friends,School friends,No group",neutral
Hollenbeck 3-20-166-2,GRYD program,Not graduating high school,,,,No other group,Friends,No,"Not graduating high school, I need to focus","Hollenbeck 3-20-166-2,GRYD program,Not graduating high school,No other group,Friends,No,Not graduating high school, I need to focus",sadness
Southeast 1-22-102-1,Football practice,Cousin was killed in ATL. Cousin was at the wrong place at the wrong time.,,,,No other group,No group,,,"Southeast 1-22-102-1,Football practice,Cousin was killed in ATL. Cousin was at the wrong place at the wrong time.,No other group,No group",sadness
Hollenbeck 1-20-77-3,,"School, boyfriend case",,,,No other group,Friends,"Yes, because stressing over school and feeling down.",No,"Hollenbeck 1-20-77-3,School, boyfriend case,No other group,Friends,Yes, because stressing over school and feeling down.,No",joy
Devonshire-Topanga-11-142-1,Work outs at the gym,Having guns pulled out on me,,,Neighbors,Neighbors,No group,,,"Devonshire-Topanga-11-142-1,Work outs at the gym,Having guns pulled out on me,Neighbors,Neighbors,No group",anger
Newton 2-23-220-1,VOA,DV issues within family,,,,No other group,No group,,,"Newton 2-23-220-1,VOA,DV issues within family,No other group,No group",sadness
Newton 2-23-219-1,Community service @ VOALA,Probation (400 hours of community service),Community friends,Volunteers of America (GRYD),,Community friends,No group,,,"Newton 2-23-219-1,Community service @ VOALA,Probation (400 hours of community service),Community friends,Volunteers of America (GRYD),Community friends,No group",joy
BVCB-0-158-3,,Friend got killed,,,,No other group,Group,Went to jail and lost my job,No,"BVCB-0-158-3,Friend got killed,No other group,Group,Went to jail and lost my job,No",sadness
Newton 2-23-172-1,"Getting ready to enroll back in school, has only check in as client.",Lost job,,,,No other group,No group,,,"Newton 2-23-172-1,Getting ready to enroll back in school, has only check in as client.,Lost job,No other group,No group",sadness
Hollenbeck 3-20-184-2,,School kicked me out,,,,No other group,Friends,No,Probation,"Hollenbeck 3-20-184-2,School kicked me out,No other group,Friends,No,Probation",sadness
Southwest 2-23-82-1,"Self improvement, communication 101, job readiness",I was suspended before,Basketball team,Basketball team,GRYD,GRYD,No group,,,"Southwest 2-23-82-1,Self improvement, communication 101, job readiness,I was suspended before,Basketball team,Basketball team,GRYD,GRYD,No group",neutral
Olympic-12-139-2,,Stopped going to school,,,Program,Program,No group,,,"Olympic-12-139-2,Stopped going to school,Program,Program,No group",neutral
Hollenbeck 2-20-156-2,,Got into a fight,,,,No other group,Friends,Nothing,My kids,"Hollenbeck 2-20-156-2,Got into a fight,No other group,Friends,Nothing,My kids",sadness
Southeast 3-10-162-1,Job readiness,Rocky relationship with boyfriend,School friends,,,School friends,No group,,,"Southeast 3-10-162-1,Job readiness,Rocky relationship with boyfriend,School friends,School friends,No group",sadness
Northeast-20-228-2,Feeding the homeless,Unemployment,Church,,High school friends,High school friends,Homies,,Spending time with daughter and girlfriend.,"Northeast-20-228-2,Feeding the homeless,Unemployment,Church,High school friends,High school friends,Homies,Spending time with daughter and girlfriend.",fear
Harbor-21-194-1,GRYD and AA for teens,Being arrested,School friends,,Sober Friends,Good kids,Homies,"Yes, when he and his homies got arrested",No,"Harbor-21-194-1,GRYD and AA for teens,Being arrested,School friends,Sober Friends,Good kids,Homies,Yes, when he and his homies got arrested,No",fear
Southwest 1-15-296-2,Doing good in school,Client stressing about a job,Church sometimes,,CB inc/community build,Other group,No group,,,"Southwest 1-15-296-2,Doing good in school,Client stressing about a job,Church sometimes,CB inc/community build,Other group,No group",anger
77th 1-16-83-1,,My parents (divorce),,,,No other group,Mi Familia,"Yes, family drama",No,"77th 1-16-83-1,My parents (divorce),No other group,Mi Familia,Yes, family drama,No",sadness
Southwest 1-15-312-1,Community Build Inc,Family & spouse problems,General Relief Friends,CBI,,Other group,No group,,,"Southwest 1-15-312-1,Community Build Inc,Family & spouse problems,General Relief Friends,CBI,Other group,No group",fear
77th 2-13-1386-1,,Friend died,,,Friends,Friends,No group,,,"77th 2-13-1386-1,Friend died,Friends,Friends,No group",sadness
Northeast-20-253-2,,House getting raided by police,Girlfriends,,Girlfriends,Girlfriends,Homies,Going to jail,Focusing on girfriend and trying to get a job,"Northeast-20-253-2,House getting raided by police,Girlfriends,Girlfriends,Girlfriends,Homies,Going to jail,Focusing on girfriend and trying to get a job",fear
Southeast 3-10-185-1,Church Activities,Grandfather has cancer,School Friends,,Church friends,School friends,No group,,,"Southeast 3-10-185-1,Church Activities,Grandfather has cancer,School Friends,Church friends,School friends,No group",sadness
Southwest 1-15-342-1,,Had a fight with my mother,,,,No other group,Group,Friends going to jail,Going to college,"Southwest 1-15-342-1,Had a fight with my mother,No other group,Group,Friends going to jail,Going to college",anger
Hollenbeck 2-20-140-2,,Medical,,,Friends,Friends,No group,,,"Hollenbeck 2-20-140-2,Medical,Friends,Friends,No group",fear
Southeast 1-22-133-1,,Two friends died; broke up with girlfriend,,,,No other group,DMC,One friend got shot; one got thrown out of his car in an accident,Nothing,"Southeast 1-22-133-1,Two friends died; broke up with girlfriend,No other group,DMC,One friend got shot; one got thrown out of his car in an accident,Nothing",sadness
Hollenbeck 1-20-122-2,Yes-GRYD workshop/religious activities,Conflict with brother,,,,No other group,Friends,No,No,"Hollenbeck 1-20-122-2,Yes-GRYD workshop/religious activities,Conflict with brother,No other group,Friends,No,No",anger
Northeast-20-123-2,,Death of parents and being homeless,,,,No other group,Homies,Death of friends,Having a son,"Northeast-20-123-2,Death of parents and being homeless,No other group,Homies,Death of friends,Having a son",sadness
Devonshire-Topanga-11-13-2,Practicing on having patience,Not being able to find a stable job,Youth build GRYD,,,Childhood friends,Junkies,Seeing my homeboy die and take his last breath in front of my eyes.,Having my daughter and moving to a new city.,"Devonshire-Topanga-11-13-2,Practicing on having patience,Not being able to find a stable job,Youth build GRYD,Childhood friends,Junkies,Seeing my homeboy die and take his last breath in front of my eyes.,Having my daughter and moving to a new city.",fear
BVCB-0-222-2,Working with CBInc.,Job security is being stressful,CBI/security,CBI,CBI,CBInc,Group,"Yes having a job, also working with CBInc. Have a big influence on my life in getting jobs",Same thing,"BVCB-0-222-2,Working with CBInc.,Job security is being stressful,CBI/security,CBI,CBI,CBInc,Group,Yes having a job, also working with CBInc. Have a big influence on my life in getting jobs,Same thing",fear
